-8250963.92200	-8250971.71500	521428.16800	521332.11330
-8253831.51200	-8253830.39900	520306.79100	520215.20560
-8251369.12500	-8251381.37000	517282.28200	517311.32020
-8255364.38200	-8255341.00500	522562.96400	522587.53650
-8250983.96000	-8251057.43100	517418.53900	517423.00610
-8256603.36800	-8256612.27300	522815.39100	522848.89940
-8252879.73100	-8252893.08900	521040.59900	521058.46940
-8250871.52700	-8250889.33800	520763.60500	520773.65750
-8250847.03700	-8250804.73500	520039.85300	520077.82710
-8253949.51100	-8253943.94500	521291.90400	521220.42180
-8254698.69100	-8254600.73000	522593.12100	522682.47590
-8254619.65400	-8254663.06900	521280.73500	521329.87940
-8255106.12000	-8255035.98900	522705.93200	522766.24610
-8254599.61700	-8254580.69200	522925.96800	522895.81080
-8254955.83900	-8254987.00900	522425.58100	522460.20620
-8254197.75300	-8254172.15000	520801.58000	520823.91830
-8253493.10100	-8253505.34600	521214.83700	521220.42180
-8251016.24200	-8251094.16600	518453.87500	518519.77020
-8252343.17100	-8252284.17100	518453.87500	518515.30270
-8254174.37600	-8254195.52700	522826.56100	522847.78240
-8252477.86700	-8252437.79200	521515.28800	521443.80490
-8251145.37300	-8251204.37200	520789.29400	520773.65750
-8251305.67300	-8251322.37100	517689.93600	517646.37840
-8250293.77900	-8250372.81600	519594.21200	519663.45910
-8251270.05100	-8251208.82500	520554.74400	520550.27620
-8252509.03700	-8252483.43300	522161.98600	522196.61070
-8256634.53700	-8256647.89500	523300.14300	523230.89290
-8252712.75100	-8252707.18500	521346.63300	521336.58090
-8253207.01000	-8253159.14300	521454.97400	521496.30000
-8250011.02700	-8250034.40400	519934.86400	519880.13640
-8254378.09100	-8254405.92100	521777.76400	521778.88080
-8252880.84400	-8252949.86200	523066.70200	523007.50460
-8254324.65800	-8254334.67600	520942.31100	520885.34830
-8253664.53300	-8253618.89200	521797.86800	521841.42840
-8253304.97100	-8253310.53700	520820.56800	520773.65750
-8251285.63500	-8251262.25800	520052.13800	519991.82600
-8255233.02500	-8255204.08200	522549.56100	522575.25020
-8251434.80400	-8251532.76500	520563.67900	520664.20060
-8256008.92100	-8255933.22400	521906.21000	521962.05620
