OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
455,8,KENNEDY,Calle 52 A Sur No. 77 W - 05,Catalina,Colegio Distrital Las Am√©ricas - Sede B (San Rafa√©l),4,160010804,-74.16898938,4.610011166,-8256454.13,513738.7012
24,8,KENNEDY,Carrera 79 F No. 46 - 16 Sur,Casablanca 32,Sal√≥n Comunal Casablanca 32,5,160010805,-74.1679326,4.618398016,-8256336.491,514675.3568
25,8,KENNEDY,Calle 47 A Sur No. 82 - 99,Britalia,Colegio Distrital Gran Britalia - Sede B,6,160010806,-74.17301133,4.625309595,-8256901.852,515447.2603
26,8,KENNEDY,Carrera 79D No. 42A - 25 / Calle 42 A Sur No. 79 D - 37,Gran Colombiano,Colegio Distrital San Jos√©,7,160010807,-74.16282961,4.62125033,-8255768.428,514993.9099
27,8,KENNEDY,Calle 41 C Sur No. 78 H - 85,Los Periodistas,Colegio Distrital Los Periodistas,8,160010808,-74.15832381,4.617388222,-8255266.845,514562.5809
30,8,KENNEDY,Carrera 72 G No. 39 - 99 Sur / Calle 39 B Sur No. 72 G - 62*,Carimagua,Colegio Distrital Alfonso L√≥pez,11,160010811,-74.14384351,4.608288408,-8253654.905,513546.3024
31,8,KENNEDY,Diagonal 41 Sur No. 73 A - 80,Timiza,Colegio Distrital Francisco Miranda,12,160010812,-74.15445626,4.612588858,-8254836.311,514026.5804
32,8,KENNEDY,Carrera 73 C Bis No. 38 C - 84 Sur / Calle 38C Sur No. 73A - 93*,La Uba,Colegio Distrital Las Am√©ricas - Sede A,13,160010813,-74.1506275,4.61676526,-8254410.096,514493.0074
33,8,KENNEDY,Calle 40 J Sur No. 78 - 08,Santa Marta de Pastrana,Colegio Distrital Tom Adams,14,160010814,-74.1556454,4.61828805,-8254968.686,514663.0756
456,8,KENNEDY,Carrera 74 B No. 38 A - 35 Sur,La Macarena,Colegio Distrital Jhon F. Kennedy,15,160010815,-74.15025405,4.619573277,-8254368.522,514806.6125
34,8,KENNEDY,Carrera 78 G No. 38 C - 11 Sur,El Jap√≥n,Colegio Distrital El Jap√≥n,16,160010816,-74.15351731,4.621697552,-8254731.788,515043.8568
457,8,KENNEDY,Carrera 80 No. 39 A - 55 Sur,Estados Unidos Super 13,Polideportivo Cayetano Ca√±izares,17,160010817,-74.16032959,4.62562787,-8255490.127,515482.8063
35,8,KENNEDY,Carrera 83 No. 38 B - 12 Sur,El Saucedal,Colegio Distrital La Amistad - Sede B,18,160010818,-74.16282557,4.63303883,-8255767.978,516310.4907
36,8,KENNEDY,Calle 1 Bis Sur No. 87 - 84,Patio Bonito,Colegio Distrital Manuel Zapata Olivella,19,160010819,-74.15996042,4.640644361,-8255449.031,517159.9147
458,8,KENNEDY,Calle 35 C Sur No. 78 N - 10,FCO Jos√© de Caldas,Colegio Distrital Inem Francisco De Paula Santander -Sede B,20,160010820,-74.15317528,4.626545717,-8254693.713,515585.3145
37,8,KENNEDY,Calle 26 Sur No. 78 H - 20 / Calle 26 Sur No. 78 H 70,Banderas - Gimnasio Militar FAC,Colegio Privado Militar de la Fuerza A√©rea Colombiana - FAC,21,160010821,-74.14966788,4.627339318,-8254303.271,515673.9466
38,8,KENNEDY,Calle 35 C Sur No.78 F - 81,Prospero Pinz√≥n,Colegio Distrital Pr√≥spero Pinz√≥n,22,160010822,-74.15109254,4.624321243,-8254461.863,515336.8781
39,8,KENNEDY,Carrera 78 No 35 - 30 Sur,Kennedy Ley,Colegio Distrital La Amistad,23,160010823,-74.14812765,4.62342255,-8254131.813,515236.5094
459,8,KENNEDY,Calle 35 B Sur No. 73 A - 40 Int 1,Los H√©roes,Colegio Distrital Los H√©roes,24,160010824,-74.14522564,4.620540827,-8253808.763,514914.6708
40,8,KENNEDY,Carrera 72 L No. 34 - 19 Sur,Colegio OEA,Colegio Distrital OEA,25,160010825,-74.14145868,4.618158635,-8253389.427,514648.6222
41,8,KENNEDY,Transversal 68 C No. 31 - 26 Sur,Floralia,Sal√≥n Comunal Floralia,26,160010826,-74.13231109,4.608704879,-8252371.122,513592.8141
42,8,KENNEDY,Calle 25 Sur No. 69 C - 34,Carvajal II,Colegio Distrital Antonia Santos,27,160010827,-74.13547168,4.615321066,-8252722.957,514331.7173
43,8,KENNEDY,Calle 20 Sur No. 68 D - 36,Villa Adriana,Sal√≥n Comunal,28,160010828,-74.12908471,4.612923953,-8252011.963,514064.0042
44,8,KENNEDY,Carrera 71 C No 3 A - 41,Las Am√©ricas,Colegio Superior Americano,29,160010829,-74.13590568,4.626186379,-8252771.27,515545.1824
45,8,KENNEDY,Carrera 68 B Bis No. 1 - 09 Sur,La Floresta Sur,Colegio Distrital La Floresta Sur - Sede 1,30,160010830,-74.12744374,4.620795857,-8251829.291,514943.1532
46,8,KENNEDY,Carrera 69 No. 7 - 90,Marsella,Colegio Distrital Marsella,31,160010831,-74.12731737,4.632151289,-8251815.223,516211.3663
47,8,KENNEDY,Calle 7 A Bis No. 71 A - 20,Aloha,Sal√≥n Comunal Aloha,32,160010832,-74.1332479,4.632901238,-8252475.407,516295.1239
460,8,KENNEDY,Calle 5 Sur No. 72 A - 69,Mandalay - Colegio Kennedy,Colegio Distrital Kennedy,33,160010833,-74.14082628,4.620267632,-8253319.028,514884.1597
461,8,KENNEDY,Carrera 79 F No. 6 B -30,Pio XII,Colegio Distrital Isabel II - Sede B,34,160010834,-74.15182268,4.635361166,-8254543.143,516569.8599
462,8,KENNEDY,Carrera 78 C No. 8 A - 43,Castilla,Colegio Distrital Nueva Castilla,35,160010835,-74.14191584,4.640465577,-8253440.318,517139.9471
49,8,KENNEDY,Carrera 87 H BIS No. 39 - 23 Sur,Jairo An√≠bal Ni√±o,Colegio Distrital Patio Bonito,37,160010837,-74.16683629,4.636940864,-8256214.449,516746.2884
463,8,KENNEDY,Carrera 79 C No. 13 A - 40,Favidi Visi√≥n de Colombia,Colegio Distrital San Jos√© de Castilla - Sede C,38,160010838,-74.13528234,4.650683393,-8252701.879,518281.1382
50,8,KENNEDY,Carrera 80 D No. 48 A - 17 Sur,Almenar,Sal√≥n Comunal,39,160010839,-74.17039948,4.619730318,-8256611.102,514824.1512
53,8,KENNEDY,Carrera 74 No. 42 G - 52 Sur,Colegio de Timiza,Colegio de Timiza,42,160010842,-74.15855086,4.609839342,-8255292.12,513719.5117
54,8,KENNEDY,Calle 42 F Sur No. 88 A - 25,Tintalito,Colegio Distrital Hernando Dur√°n Dussan,43,160010843,-74.17220866,4.634596462,-8256812.499,516484.4542
55,8,KENNEDY,Carrera 90 A No. 39 - 12 Sur,Las Palmeras,Colegio Distrital Rodrigo de Triana - Sede B,44,160010844,-74.16940801,4.64064523,-8256500.733,517160.0117
56,8,KENNEDY,Carrera 93 A No. 42 A - 37 Sur,Dindalito,Colegio Distrital Villa Dindalito,45,160010845,-74.17467597,4.641742778,-8257087.159,517282.5921
58,8,KENNEDY,Carrera 85 No. 8 A - 28 / 36,Valladolid,Instituto Asopeminde La Pola,46,160010846,-74.14914447,4.646579746,-8254245.005,517822.8146
57,8,KENNEDY,Av. Ciudad de Cali No. 42 B - 51 Sur / Avenida Carrera 86 No. 42 B - 51 Sur *,Milenio Plaza,Centro Comercial Milenio Plaza,47,160010847,-74.16878478,4.630349086,-8256431.355,516010.0888
59,8,KENNEDY,Carrera 87 A No. 6 A - 23 / Carrera 88 No. 6A - 28,Colegio Gabriel Betancourt Mej√≠a,Colegio Distrital Gabriel Betancourt Mej√≠a,48,160010848,-74.15653034,4.644541436,-8255067.196,517595.1631
60,8,KENNEDY,Calle 5 A Sur No. 82 - 63 / Calle 5 A Sur No. 82 - 01,Mar√≠a Paz,Sal√≥n Comunal Mar√≠a Paz,49,160010849,-74.15796744,4.636868682,-8255227.173,516738.2267
61,8,KENNEDY,Carrera 91 No. 43 - 98 Sur / Carrera 90 A No. 46 - 50 Sur *,Colegio Nelson Mandela,Colegio Disitrital Nelson Mandela,50,160010850,-74.17790968,4.635853713,-8257447.134,516624.87
464,8,KENNEDY,Calle 11 B No. 80 B - 61 / Calle 11 B No. 80 C - 10,Colegio Gustavo Rojas Pinilla,Colegio Distrital Gustavo Rojas Pinilla,51,160010851,-74.14064983,4.648509084,-8253299.387,518038.2961
62,8,KENNEDY,Calle 56 A Sur No. 78 A - 20,Colegio Class I.E.D. Sede B,Colegio Distrital Class - Sede B,52,160010852,-74.17120201,4.608893256,-8256700.439,513613.8522
406,8,KENNEDY,Calle 58 C Sur No. 78 K - 21,Gema,Sal√≥n Comunal El Ruby II Sector,53,160010853,-74.17686552,4.607525829,-8257330.898,513461.1373
63,8,KENNEDY,Calle 49 Sur No. 78 - 35,Villa Rica,Colegio Distrital Villa Rica - Sede B,54,160010854,-74.16641358,4.611437642,-8256167.394,513898.0113
64,8,KENNEDY,Transversal 85 A No. 49 - 45 Sur,Colegio Jaime Garz√≥n,Colegio Distrital Jaime Garz√≥n,55,160010855,-74.17558465,4.625827935,-8257188.312,515505.1502
65,8,KENNEDY,Carrera 84 A No. 57 B - 04 Sur / Carrera 84 A No. 57 B - 22 Sur,Colegio D√©bora Arango,Colegio Distrital Debora Arango P√©rez,56,160010856,-74.18313506,4.617969588,-8258028.821,514627.5091
465,8,KENNEDY,Calle 40 Sur No. 94 C - 50,Campo Bello,Colegio Distrital Cafam Bellavista,57,160010857,-74.17254202,4.645385855,-8256849.608,517689.4732
13,8,KENNEDY,Carrera 89 No. 26 -03 Sur / Carrera 89 No. 26 -01 Sur,Patios,Colegio Distrital Saludcoop Sur,58,160010858,-74.16378937,4.642366606,-8255875.268,517352.2649
414,8,KENNEDY,Calle 56 Sur No. 81 - 26,Manuel Cepeda,Colegio Distrital Manuel Cepeda Vargas,59,160010859,-74.1776623,4.616530014,-8257419.596,514466.7347
466,8,KENNEDY,Carrera 72 No. 12 B - 48,Centro Comercial El Ed√©n,Centro Comercial El Ed√©n,60,160010860,-74.12914781,4.646525628,-8252018.987,517816.7704
311,8,KENNEDY,Calle 51 C Sur No. 82 A - 09,Santa Maria de Kennedy,Salon Comunal Urbanizacion Villa Andrea,61,160010861,-74.17647344,4.622501831,-8257287.253,515133.6809
590,8,KENNEDY,Carrera 78 N No. 41 - 17/ 21 Sur / Carrera 78 P No. 41 - 20 Sur,Tequendama Paulo VI Sede A,Colegio Distrital Paulo VI Sede A,62,160010862,-74.15802883,4.620888029,-8255234.007,514953.4472
593,8,KENNEDY,Carrera 80 No. 43 - 43 Sur Av. Carrera 80 No. 43 - 43 Sur *,Centro de Desarrollo Comunitario Kennedy,Centro de Desarrollo Comunitario Kennedy,63,160010863,-74.16661075,4.620902714,-8256189.343,514955.0873
602,8,KENNEDY,Calle 38 B No. 89 - 81 Sur Calle 38 Sur No. 89 - 81 *,Colegio Rodrigo Triana,Colegio Distrital Rodrigo Triana Sede A (Paraiso),64,160010864,-74.16738579,4.640010212,-8256275.62,517089.0894
603,8,KENNEDY,Calle 5 A Sur No. 88 B - 08,Colegio Dar√≠o Echand√≠a,Colegio Distrital Dar√≠o Echand√≠a,65,160010865,-74.161696,4.642173,-8255642.235,517330.6419
605,8,KENNEDY,Calle 6 D No. 90 - 51,San Francisco en el Tintal,Colegio Gimnasio Moderno San Francisco El Tintal,66,160010866,-74.15821,4.649992999,-8255254.175,518204.0301
606,8,KENNEDY,Carrera 94 No. 6 C - 30 Carrera 93 No. 6 B - 50 *,Centro Comercial Ciudad Tintal,Centro Comercial Ciudad Tintal,67,160010867,-74.15974956,4.652774051,-8255425.558,518514.6383
607,8,KENNEDY,Av. Ciudad de Cali No. 11 B - 95 ¬† Calle 11 A No. 86 - 66 *,Tagaste,Universidad Uniagustiniana,68,160010868,-74.14514654,4.653395062,-8253799.958,518583.9976
600,8,KENNEDY,Calle 7 C No. 78 F - 20 Carrera 78 F No. 7 D - 03 *,Tierra de Castillos,Colegio Distrital San Jos√© de Castilla - Sede A,69,160010869,-74.14384,4.638309,-8253654.514,516899.0888
599,8,KENNEDY,Transversal 78 C No. 6 D - 49,Colegio Fe y Alegr√≠a,Colegio Fe y Alegr√≠a,70,160010870,-74.146056,4.635105999,-8253901.198,516541.3617
490,8,KENNEDY,Calle 2B No. 70 - 22,Colegio Jean Piaget,Colegio Privado Jean Piaget,71,160010871,-74.13168348,4.624596076,-8252301.256,515367.5723
476,8,KENNEDY,Calle 6A No. 78A - 68,Metro,Almac√©n Metro,72,160010872,-74.1458,4.6324,-8253872.7,516239.1434
491,8,KENNEDY,Carrera 79C No. 41B - 51 Sur,Colegio San Pedro Claver Sede A,Colegio Distrital San Pedro Claver Sede A,73,160010873,-74.1611,4.622,-8255575.889,515077.635
492,8,KENNEDY,Calle 8A BIS No. 94 - 72 / Carrera 94 No. 8C - 49,Colegio La Magdalena,Colegio La Magdalena,74,160010874,-74.1573,4.657199999,-8255152.875,519008.9632
720,8,KENNEDY,Carrera 77 Q No. 45 A - 21 Sur,Colegio Distrital Jackeline,Colegio Distrital Jackeline Sede B,75,160010875,-74.16273182,4.6089903,-8255757.542,513624.6901
721,8,KENNEDY,Calle 1 Sur¬† No. 86 - 15,Colegio Luz y Vida,Gimnasio Cristiano Luz y Vida,76,160010876,-74.15926272,4.638695688,-8255371.364,516942.2762
722,8,KENNEDY,Calle 38 C Sur No. 86 C - 15,Colegio Rafael Goberna,Colegio Rafael Goberna,77,160010877,-74.16429156,4.634597102,-8255931.172,516484.5256
723,8,KENNEDY,Carrera 80 A No. 51 B - 29 Sur,Fernando Soto Aparicio Sede B,Colegio Fernando Soto Aparicio Sede B,78,160010878,-74.172626,4.617238,-8256858.957,514545.8039
724,8,KENNEDY,Calle 8 Bis No. 81 - 40,Sal√≥n Comunal Monterrey,Sal√≥n Comunal Monterrey,79,160010879,-74.14783573,4.643097501,-8254099.316,517433.8956
725,8,KENNEDY,Avenida Carrera 86 No. 6 - 37 / Av. Ciudad Cali con Am√©ricas,Centro Comercial Tintal Plaza,Centro Comercial Tintal Plaza,80,160010880,-74.15541178,4.641769221,-8254942.679,517285.5455
726,8,KENNEDY,Calle 54 Sur No. 81 H - 15,Sagrado Coraz√≥n,Colegio Sagrado Coraz√≥n Sede Principal,81,160010881,-74.1771205,4.620347683,-8257359.283,514893.1
727,8,KENNEDY,Calle 2 No. 93 - 28,CODEMA,Colegio Distrital CODEMA,82,160010882,-74.16555885,4.648293517,-8256072.246,518014.2201
728,8,KENNEDY,Carrera 78 J No. 54 - 16 Sur,Sal√≥n Comunal Roma IV,Sal√≥n Comunal Roma IV Segundo Sector,83,160010883,-74.17060252,4.611307113,-8256633.705,513883.4337
729,8,KENNEDY,Calle 38 C SUR No. 79 - 08,Kennedy Central,Colegio Distrital INEM Francisco de Paula Santander,84,160010884,-74.15550351,4.624982828,-8254952.89,515410.7659
730,8,KENNEDY,Transversal 73 A Bis B No.36 - 47 Sur,Fernando Soto Aparicio,Colegio Fernando Soto Aparicio ‚Äì Nuevo Kennedy,85,160010885,-74.14748937,4.618814036,-8254060.76,514721.8188
731,8,KENNEDY,Carrera 73 D No.35 - 20 Sur,Rosa Mar√≠a de Gordillo,Colegio Rosa Mar√≠a de Gordillo,86,160010886,-74.1464407,4.622060612,-8253944.023,515084.4043
732,8,KENNEDY,Carrera 68 L¬† No.37 D - 38 Sur / Carrera 68 I No.37 D - 02 Sur,Sal√≥n Comunal Carvajal Osorio,Sal√≥n Comunal Carvajal Osorio,87,160010887,-74.138358,4.606928999,-8253044.261,513394.4831
733,8,KENNEDY,Carrera 70 B No. 24 B - 35 Sur,Colegio Militar Manuel Murillo Toro,Colegio Militar Manuel Murillo Toro,88,160010888,-74.13596252,4.616207164,-8252777.597,514430.6782
734,8,KENNEDY,Calle 9 C No. 68 - 52,Nicol√°s Esguerra,Colegio Nicol√°s Esguerra,89,160010889,-74.12260323,4.632326105,-8251290.448,516230.8905
735,8,KENNEDY,Carrera 69 No. 8 - 28,Sal√≥n Comunal Marsella,Sal√≥n Comunal Marsella,90,160010890,-74.12702548,4.632976377,-8251782.731,516303.5157
736,8,KENNEDY,Diagonal 2 D No. 79 C - 83,Isabel II,El Colegio Isabel II,91,160010891,-74.15294975,4.633569682,-8254668.607,516369.7787
738,8,KENNEDY,Carrera 69 No. 39 - 27¬† Sur / Carrera 69 Bis No. 39 - 30 Sur,Colegio OEA Antonia Santos,Colegio OEA Sede Antonia Santos,93,160010893,-74.14082055,4.609080687,-8253318.391,513634.7846
741,8,KENNEDY,Calle 4 No. 71 A - 41,Colegio Integraci√≥n Moderna,Colegio Privado de Integraci√≥n Moderna,96,160010896,-74.13479142,4.62674213,-8252647.231,515607.2506
845,8,KENNEDY,Carrera 72 M No. 40 F - 18 Sur,Colegio Cooperativo Timiza,Colegio Privado Cooperativo de Timiza,97,160010897,-74.15073441,4.608652926,-8254421.996,513587.012
846,8,KENNEDY,Calle 2 No. 68 B - 08 Sur / Calle 2 No. 68 B 82 Sur,I.E.D. La Floresta Sur Sede B,Colegio Distrital La Floresta Sur Sede B,98,160010898,-74.12772213,4.620478548,-8251860.281,514907.7153
847,8,KENNEDY,Transversal 68 G No. 35 A - 42 Sur,I.E.D Carlos Arango Velez Sede A,Colegio Distrital Carlos Arango V√©lez Sede A,99,160010899,-74.13534321,4.607800367,-8252708.656,513491.7978
897,8,KENNEDY,Transversal 78 I No. 42 B - 81 Sur / Carrera 78 L No. 42 B - 84 Sur*,I.E.D San Rafael Sede A,Colegio Distrital San Rafael Sede A,100,1600108100,-74.16240131,4.617571588,-8255720.75,514583.0596
898,8,KENNEDY,Calle 9 A Sur No. 68 F - 23,Sal√≥n Comunal Villa Claudia,Sal√≥n Comunal Villa Claudia,101,1600108101,-74.12914229,4.617273996,-8252018.373,514549.824
899,8,KENNEDY,Calle 42 G Sur No. 87 - 06,Colegio San Pedro Claver Sede B,Colegio Distrital San Pedro Claver Sede B,102,1600108102,-74.1713998,4.631496877,-8256722.457,516138.2788
263,14,LOS MÁRTIRES,Calle 22 A No. 18 B - 42,Santa F√©,Colegio Distrital Rep√∫blica Bolivariana de Venezuela Sede A,1,160011401,-74.07940438,4.615162795,-8246481.574,514314.0413
264,14,LOS MÁRTIRES,Calle 22 A No. 25 - 52,Samper Mendoza,Colegio Distrital Rep√∫blica Bolivariana de Venezuela Sede B Samper Mendoza,2,160011402,-74.08305314,4.618372662,-8246887.752,514672.5252
265,14,LOS MÁRTIRES,Av. Calle 22 C No. 29 A - 47,Colseguros,Sal√≥n Comunal,3,160011403,-74.08428457,4.621698653,-8247024.834,515043.9798
266,14,LOS MÁRTIRES,Calle 13 No. 18 - 24,Estaci√≥n de la Sabana,Salones de la Estaci√≥n,4,160011404,-74.08335137,4.607028938,-8246920.951,513405.6443
312,14,LOS MÁRTIRES,Calle 10 No. 29 - 64,Ricaurte,Colegio Distrital Antonio Ricaurte,5,160011405,-74.09447962,4.610112401,-8248159.742,513750.0072
317,14,LOS MÁRTIRES,Calle 19 No. 19 - 27,San Fas√≥n,Colegio Nuestra Se√±ora de la Presentaci√≥n,11,160011411,-74.08133886,4.612162252,-8246696.919,513978.9365
478,14,LOS MÁRTIRES,Carrera 27 No. 24 C - 19,Panamericano,Colegio Distrital Panamericano,13,160011413,-74.078835,4.623057107,-8246418.191,515195.6956
792,14,LOS MÁRTIRES,Carrera 19 B No. 24 - 32,Centro Memoria,Centro Memoria,16,160011416,-74.07725252,4.618683373,-8246242.03,514707.2261
883,14,LOS MÁRTIRES,Avenida NQS con 19 / KR 30 20 54,Mallplaza,Centro Comercial Mallplaza,18,160011418,-74.08655261,4.619226968,-8247277.311,514767.936
389,98,PUENTE ARANDA,Carrera 56 No. 18 A - 47,C√°rcel Distrital Judicial Modelo,Localidad Puente Aranda,2,160019802,-74.10724119,4.63538471,-8249580.354,516572.4894
518,16,PUENTE ARANDA,Carrera 41 B No 4 C ‚Äì 27,La Primavera,Colegio Distrital El Jazm√≠n - Sede B,6,160011606,-74.10939313,4.615518683,-8249819.906,514353.7874
519,16,PUENTE ARANDA,Calle 19 C No. 33 - 30,Cundinamarca,Colegio Distrital Espa√±a Sede B,7,160011607,-74.08933232,4.622689935,-8247586.747,515154.6888
520,16,PUENTE ARANDA,Diagonal 5 F Bis A No. 43 B - 02,La Francia,Sal√≥n Comunal La Francia,8,160011608,-74.10746026,4.620199921,-8249604.741,514876.5976
521,16,PUENTE ARANDA,Carrera 56 No. 15 - 41,Puente Aranda,Colegio Distrital Jos√© Joaqu√≠n Casas,9,160011609,-74.1088856,4.632026551,-8249763.409,516197.435
522,16,PUENTE ARANDA,Calle 11 No. 65 B - 10,Salazar G√≥mez,Colegio Distrital Francisco Jos√© de Sucre,10,160011610,-74.11809822,4.63356439,-8250788.952,516369.1876
523,16,PUENTE ARANDA,Calle 5 B No. 60 - 29,La Trinidad,Colegio Distrital Silvera Espinosa Rend√≥n - Sede C,11,160011611,-74.11704188,4.62698828,-8250671.362,515634.7415
524,16,PUENTE ARANDA,Calle 4 B No. 65 - 31,La Pradera,Colegio Distrital Rafa√©l Pombo - Sede B,12,160011612,-74.12182556,4.623994109,-8251203.878,515300.3428
525,16,PUENTE ARANDA,Calle 4 No. 56 - 03,Col√≥n,Colegio Jos√© Allamano,13,160011613,-74.11942848,4.620190372,-8250937.036,514875.5312
526,16,PUENTE ARANDA,Calle 4 F No. 53 - 55,San Rafael,Colegio Distrital Rafa√©l Sorrento - Sede B,14,160011614,-74.11365583,4.619919495,-8250294.428,514845.279
527,16,PUENTE ARANDA,Calle 1 H No. 40 D - 13,El Jazm√≠n,Colegio Distrital Jazm√≠n - Sede A,15,160011615,-74.11487267,4.609959443,-8250429.886,513732.9247
528,16,PUENTE ARANDA,Calle 1 B No. 52 A - 02,La Ponderosa,Colegio Distrital Luis Carlos Gal√°n,16,160011616,-74.11908076,4.611495329,-8250898.328,513904.4539
529,16,PUENTE ARANDA,Calle 2 Bis No. 56 A - 37,Gal√°n,Colegio Distrital Jos√© Manuel Restrepo,17,160011617,-74.12247563,4.617260904,-8251276.243,514548.3618
530,16,PUENTE ARANDA,Carrera 52 C No. 19 A - 76 Sur,Milenta,Colegio Distrital Luis Vargas Tejada - Sede A,18,160011618,-74.12565623,4.609531985,-8251630.306,513685.1859
105,16,PUENTE ARANDA,Carrera 52 D No. 24 - 50 Sur / Carrera 52 D No. 24 - 48 Sur,El Tejar,Colegio Distrital Luis Vargas Tejada - Sede B,19,160011619,-74.12752015,4.608584813,-8251837.796,513579.4051
535,16,PUENTE ARANDA,Avenida las Am√©ricas No. 50 - 15 / Avenida Calle 9 No. 50 - 15,Carrera Centro Comercial,Centro Comercial,25,160011625,-74.10792935,4.626474202,-8249656.959,515577.3275
536,16,PUENTE ARANDA,Carrera 38 No. 10 - 90,San Andresito,Centro Comercial Puerto L√≥pez,26,160011626,-74.1014283,4.616956959,-8248933.265,514514.4167
591,16,PUENTE ARANDA,Carrera 53F No. 4G - 04,Sal√≥n Comunal Barrio Col√≥n,Sal√≥n Comunal Barrio Col√≥n,27,160011627,-74.11500638,4.622256958,-8250444.771,515106.3328
502,16,PUENTE ARANDA,Calle 4 A No. 51 A - 90,Sal√≥n Comunal La Colonia Oriental,Colonia Oriental,28,160011628,-74.1149,4.6183,-8250432.928,514664.4102
503,16,PUENTE ARANDA,Carrera 58 No. 4 B - 31,Sal√≥n Comunal La Trinidad,Sal√≥n Comunal La Trinidad,29,160011629,-74.11877986,4.623040511,-8250864.832,515193.8421
504,16,PUENTE ARANDA,Carrera 41B No. 5 - 57,Primavera y Gorgonzola,Sal√≥n Comunal Primavera y Gorgonzola,30,160011630,-74.1077,4.616299999,-8249631.428,514441.0462
800,16,PUENTE ARANDA,Calle 4 A No. 32 A - 77 / Calle 4 A No. 32 A - 75,Sal√≥n Comunal Veraguas,Sal√≥n Comunal Veraguas Central,33,160011633,-74.10320907,4.606667879,-8249131.5,513365.3211
801,16,PUENTE ARANDA,Calle 5 C No. 31 C - 16,Instituto de Integraci√≥n Cultural,Instituto de Integraci√≥n Cultural,34,160011634,-74.10099577,4.60792901,-8248885.116,513506.1647
802,16,PUENTE ARANDA,Calle 5 B No. 53 C - 74,Colegio Distrital Sorrento,Colegio Distrital Sorrento Sede A,35,160011635,-74.11328685,4.622991052,-8250253.353,515188.3184
803,16,PUENTE ARANDA,Calle 1B No. 52A - 02,Luis Carlos Gal√°n Sarmiento,Colegio Luis Carlos Gal√°n Sarmiento Sede C,36,160011636,-74.11902358,4.611679158,-8250891.963,513924.9841
807,16,PUENTE ARANDA,Carrera 65 No. 11 - 50,Plaza Central,Centro Comercial Plaza Central,40,160011640,-74.11627802,4.63240267,-8250586.329,516239.4416
885,16,PUENTE ARANDA,Carrera 56 No. 17 - 11,Jos√© Joaqu√≠n Casas Sede A,Colegio Distrital Jos√© Joaqu√≠n Casas Sede A,43,160011643,-74.1084016,4.632606211,-8249709.529,516262.174
886,16,PUENTE ARANDA,Calle 18 No. 35 - 25,Centro Educativo Distrital Espa√±a,Colegio Distrital Centro Educativo Espa√±a,44,160011644,-74.09303402,4.621806078,-8247998.819,515055.9773
204,11,SUBA,Carrera 68 B No. 94 - 12,Floresta Norte - Julio Fl√≥rez,Colegio Instituto Tecnico Distrital Julio Fl√≥rez - Sede B,19,160011119,-74.07750307,4.687168986,-8246269.921,522356.2183
772,11,SUBA,Carrera 69 No. 98 A - 45,Floresta Outlet,Centro Comercial Outlet La Floresta,74,160011174,-74.07476325,4.691381544,-8245964.926,522826.7331
388,90,TEUSAQUILLO,Calle 24 No. 37 - 94,Puesto Censo (Feria Exposici√≥n),CORFERIAS,1,160019001,-74.08994026,4.630369649,-8247654.423,516012.3854
393,13,TEUSAQUILLO,Diag. 61 C No. 26 - 35 Entrada 17 Costado Norte,El Camp√≠n,Centro Superior de Estudios en Administraci√≥n Deportiva - CEAD (Frente al Col. Cubierto El Campin),3,160011303,-74.07582905,4.649279934,-8246083.57,518124.3899
245,13,TEUSAQUILLO,Calle 57 B No. 37 - 34,Nicol√°s de Federm√°n,Colegio de la Contralor√≠a,4,160011304,-74.08198888,4.648238759,-8246769.279,518008.1043
246,13,TEUSAQUILLO,Carrera 53 con Calle 57 B (Plazoleta) / Calle 57A No. 53 - 21 *,Pablo VI,Plazoleta,5,160011305,-74.08685655,4.649792883,-8247311.146,518181.6797
247,13,TEUSAQUILLO,Calle 46 No 67 A - 35,El Salitre,Sal√≥n Comunal Salitre Greco,6,160011306,-74.10011002,4.65593062,-8248786.515,518867.1886
248,13,TEUSAQUILLO,Calle 45 No. 54 - 51,La Esmeralda,Colegio Calazans Femenino,7,160011307,-74.09103471,4.647253998,-8247776.256,517898.1196
250,13,TEUSAQUILLO,Carrera 23 No. 49 - 37,Palermo,Colegio Distrital Palermo,9,160011309,-74.07408781,4.638043201,-8245889.736,516869.403
251,13,TEUSAQUILLO,Carrera 22 No. 45 A - 51,Palermo - Colegio Americano,Colegio Americano,10,160011310,-74.07409026,4.634310555,-8245890.008,516452.5227
252,13,TEUSAQUILLO,Carrera 27 No. 45 A - 63,Belalcazar,Gimnasio Boyac√°,11,160011311,-74.07762639,4.635412691,-8246283.649,516575.6145
253,13,TEUSAQUILLO,Avenida Dorado No. 44 A - 40 / Avenida Calle 26 No. 44 A - 40,Quinta Paredes A,Hemeroteca Nacional,12,160011312,-74.09153301,4.636170903,-8247831.727,516660.2953
254,13,TEUSAQUILLO,Av. Calle 24 No. 48 - 53,Quinta Paredes B,Gimnasio William McKinley,13,160011313,-74.09760864,4.637018089,-8248508.062,516754.9132
255,13,TEUSAQUILLO,Av. Calle 24 No. 37 - 27,Centro Nari√±o,Acueducto,14,160011314,-74.09149145,4.628473686,-8247827.101,515800.6369
