OBJECTID,Código de localidad,Nombre de localidad,Dirección,Nombre del Sitio,Nombre del puesto,Número del puesto,Código del puesto,Long,Lat,CoorX,CoorY
84,10,ENGATIVA,Calle 71 No. 75 - 11,Boyac√°,Colegio Distrital Manuela Ayala de Gait√°n - Sede A,1,160011001,-74.09952889,4.688139072,-8248721.824,522464.5703
86,10,ENGATIVA,Diagonal 44 No. 69 - 96,Normand√≠a,Colegio Privado Instituto T√©cnico Industrial Centro Don Bosco,3,160011003,-74.10790265,4.661957395,-8249653.987,519540.3102
87,10,ENGATIVA,Carrera 68 F No 63 B - 02,Bosque Popular,Colegio T√©cnico Industrial Francisco Jos√© de Caldas - Sede A,4,160011004,-74.0953826,4.66880592,-8248260.262,520305.2189
88,10,ENGATIVA,Av. Calle 64 C No. 68 F - 29,El Gual√≠,Colegio Cafam B√°sica Primaria,5,160011005,-74.09435406,4.671215577,-8248145.764,520574.3542
89,10,ENGATIVA,Avenida Boyac√° No. 64 H - 39 / Avenida Carrera 72 No. 64 H - 39,El Luj√°n,Colegio Distrital Robert Kennedy,6,160011006,-74.1014887,4.678894774,-8248939.989,521432.052
90,10,ENGATIVA,Calle 64 C No. 76 - 23 / Calle 64 C No. 76 - 43 *,Villa Luz,Gimnasio Los Alceres,7,160011007,-74.10643213,4.680781845,-8249490.289,521642.8225
91,10,ENGATIVA,Calle 66 A No. 97 A - 15,Los √Ålamos,Colegio Cooperativo Los √Ålamos - COALAMOS,8,160011008,-74.11978795,4.69570563,-8250977.052,523309.7078
96,10,ENGATIVA,Calle 70 A No. 94 - 38,La Salina,Colegio Distrital Florida Blanca - Sede A,14,160011014,-74.11402123,4.697956262,-8250335.104,523561.0911
14,10,ENGATIVA,Carrera 89 No. 68 A - 36 Carrera 89 No. 68 A - 32 *,La Florida,Colegio Manyanet,15,160011015,-74.11058797,4.692899556,-8249952.915,522996.2857
15,10,ENGATIVA,Carrera 78 No. 69 A - 11,Santa Helenita,Colegio Distrital Manuela Ayala de Gait√°n - Sede B,16,160011016,-74.10337861,4.688928773,-8249150.373,522552.7745
16,10,ENGATIVA,Carrera 70 C Bis No. 71 - 33,La Europa,Colegio Distrital N√©stor Forero Alcal√° - Sede A,17,160011017,-74.09357475,4.683808993,-8248059.012,521980.9315
17,10,ENGATIVA,Carrera 69 C No. 69 - 20,La Estrada,Colegio Distrital Rep√∫blica de Colombia - Sede B,18,160011018,-74.0915258,4.678782291,-8247830.924,521419.4886
18,10,ENGATIVA,Calle 68 No. 69 - 10,La Estradita,Colegio Distrital Rep√∫blica de Colombia - Sede A,19,160011019,-74.09156636,4.677421343,-8247835.439,521267.4822
19,10,ENGATIVA,Calle 73 Bis No. 68 G - 27,Las Ferias,Colegio Distrital Naciones Unidas - Sede A,20,160011020,-74.08716271,4.68068259,-8247345.228,521631.7365
20,10,ENGATIVA,Calle 78 Bis No. 69T - 45,Bonanza,Instituto T√©cnico Distrital Rep√∫blica de Guatemala,21,160011021,-74.08685265,4.690132197,-8247310.712,522687.189
21,10,ENGATIVA,Calle 74 B No. 73 A - 20,Santa Mar√≠a del Lago,Colegio Distrital Tabora - Sede B,22,160011022,-74.09470132,4.691661443,-8248184.421,522857.9961
22,10,ENGATIVA,Carrera 84 No. 75 A - 09,La Granja,Colegio Distrital San Jos√© Norte - Sede A,23,160011023,-74.10180745,4.698713442,-8248975.472,523645.6642
163,10,ENGATIVA,Diagonal 74 B No. 87 - 40,Florencia,Colegio Distrital Nidia Quintero de Turbay - Sede B,24,160011024,-74.10526332,4.699568109,-8249360.177,523741.1262
167,10,ENGATIVA,Calle 75 No. 90 - 75,Santa Rosita,Colegio Distrital Nidia Quintero de Turbay - Sede A,25,160011025,-74.10789106,4.701727638,-8249652.697,523982.3352
168,10,ENGATIVA,Carrera 92 No. 82 - 20,Quirigua,Colegio Distrital Rep√∫blica de China,26,160011026,-74.10385844,4.70761207,-8249203.787,524639.6017
169,10,ENGATIVA,Carrera 82 A No. 82 D - 34 / Carrera 82 A No. 82 D - 40,La Espa√±ola,Colegio Distrital Jorge Gait√°n Cort√©s - Sede A,27,160011027,-74.09653855,4.703375863,-8248388.941,524166.4345
170,10,ENGATIVA,Transversal 74 No. 81 C - 05,Minuto de Dios,Colegio Minuto de Dios,28,160011028,-74.09033768,4.698129252,-8247698.663,523580.4132
171,10,ENGATIVA,Carrera 85 No. 88 - 99 / Carrera 85 No. 88 - 91,La Serena,Colegio Distrital Sim√≥n Bol√≠var - Sede B,29,160011029,-74.09499903,4.708631876,-8248217.563,524753.5103
174,10,ENGATIVA,Calle 65 No. 112 A - 39,Villa Gladys,Colegio Distrital Antonio Villavicencio - Sede A,33,160011033,-74.13430698,4.705067449,-8252593.304,524355.3774
176,10,ENGATIVA,Carrera 77 A No. 67 - 17,San Marcos,Colegio Distrital Antonio Nari√±o - Sede A,35,160011035,-74.10397213,4.685961514,-8249216.444,522221.3523
177,10,ENGATIVA,Transversal 76 B No. 51 A - 57 / Carrera 75 No. 51 A - 69,San Ignacio,Colegio Distrital Marco Tulio Fern√°ndez - Sede D,36,160011036,-74.11170781,4.673938038,-8250077.576,520878.4277
178,10,ENGATIVA,Carrera 77 B No. 74 A - 02 / Carrera 77 B No. 74 - 02,Tabora,Colegio Distrital Tabora - Sede A,37,160011037,-74.09808773,4.693789436,-8248561.395,523095.6799
469,10,ENGATIVA,Diagonal 83 No. 73 - 12 / Diagonal 83 No. 73 A - 12 *,El Morisco,Colegio Distrital Morisco,38,160011038,-74.09038497,4.705155591,-8247703.928,524365.2225
179,10,ENGATIVA,Transversal 87 A No. 83 A - 48,Los Cerezos,Polideportivo,39,160011039,-74.10015044,4.706390361,-8248791.014,524503.1414
181,10,ENGATIVA,Carrera 69 B No. 79 A - 42,Ferias II,Colegio Distrital Ju√°n del Corral - Sede A,41,160011041,-74.08190081,4.686961488,-8246759.476,522333.0423
182,10,ENGATIVA,Carrera 105 D No. 66 A - 15 Carrera 105 F No. 66 - 33 *,El Muelle,Colegio Colsubsidio Las Mercedes,42,160011042,-74.12521384,4.700289142,-8251581.059,523821.662
